doll_name,doll_line,eye_color_real,hair_color,face_mold,skin_color,skin_tone
Addy Walker,Historical,Brown,Black,Addy,Dark,33
Blaire Wilson,GOTY,Green,Red,Josefina,Light,5
Caroline Abbott,Historical,Blue-green,Blonde,Classic,Light,10
Cecile Rey,Historical,Hazel,Brown,Sonali,Dark,30
Chrissa Maxwell,GOTY,Light Blue,Brown,Josefina,Light,10
Claudie Wells,Historical,Brown,Black,Claudie,Dark,35
Corinne Tan,GOTY,Brown,Black,Corinne,Light,10
Costco Sparkling Ballerina,Truly Me,Light Blue,Blonde,Classic,Light,10
Courtney Moore,Historical,Blue,Caramel,Classic,Light,10
Elizabeth Cole,Historical,Light Blue,Blonde,Josefina,Light,10
Emily Bennett,Historical,Light Blue,Red,Classic,Light,10
Evette Peeters,Contemporary,Grey,Caramel,Josefina,Medium,20
Felicity Merriman,Historical,Light Green,Red,Classic,Light,10
Gabriella McBride,GOTY,Brown,Brown,Sonali,Dark,30
Grace Thomas,GOTY,Light Blue,Brown,Josefina,Light,10
Gwen Thompson,GOTY,Brown,Blonde,Classic,Light,10
Isabel Hoffman,Historical,Light Green,Blonde,Joss,Light,10
Isabelle Palmer,GOTY,Hazel,Blonde,Classic,Light,10
Ivy Ling,Historical,Brown,Black,Jess,Light,10
Jess McConnell,GOTY,Brown,Black,Jess,Light,10
Josefina Montoya,Historical,Brown,Black,Josefina,Medium,20
Joss Kendrick,GOTY,Brown,Brown,Joss,Light,10
Julie Albright,Historical,Brown,Blonde,Josefina,Light,10
Kailey Hopkins,GOTY,Brown,Blonde,Classic,Light,10
Kanani Akina,GOTY,Hazel,Brown,Jess,Medium,20
Kavi Sharma,GOTY,Brown,Black,Marie-Grace,Medium,20
Kaya'aton'my,Historical,Dark Brown,Black,Kaya,Medium,23
Kira Bailey,GOTY,Green,Blonde,Josefina,Light,3
Kirsten Larson,Historical,Light Blue,Blonde,Classic,Light,10
Kit Kittredge,Historical,Dark Blue,Blonde,Classic,Light,10
Lanie Holland,GOTY,Hazel,Blonde,Classic,Light,10
Lea Clark,GOTY,Hazel,Caramel,Josefina,Medium,20
Lila Monetti,GOTY,Brown,Caramel,Josefina,Light,10
Lindsey Bergman,GOTY,Light Blue,Brown,Classic,Light,10
Logan Everett,Contemporary,Grey,Brown,Kaya,Light,10
Luciana Vega,GOTY,Brown,Brown,Josefina,Medium,20
Makena Williams,Contemporary,Brown,Brown,Makena,Dark,35
Marie-Grace Gardner,Historical,Blue-green,Brown,Marie-Grace,Light,10
Marisol Luna,GOTY,Brown,Brown,Josefina,Medium,20
Maritza Ochoa,Contemporary,Brown,Brown,Joss,Medium,25
Maryellen Larkin,Historical,Hazel,Red,Classic,Light,10
McKenna Brooks,GOTY,Light Blue,Caramel,Josefina,Light,10
Melody Ellison,Historical,Brown,Black,Sonali,Dark,30
Mia St. Clair,GOTY,Hazel,Red,Classic,Light,10
Molly McIntire,Historical,Grey,Brown,Classic,Light,10
Nanea Mitchell,Historical,Hazel,Black,Nanea,Medium,20
Nellie O'Malley,Historical,Dark Blue,Red,Josefina,Light,10
Nicki Fleming,GOTY,Light Blue,Caramel,Classic,Light,10
Nicki Hoffman,Historical,Blue,Brown,Joss,Light,10
Rebecca Rubin,Historical,Hazel,Brown,Josefina,Light,10
Ruthie Smithens,Historical,Grey,Black,Classic,Light,10
Saige Copeland,GOTY,Turquoise,Red,Classic,Light,10
Samantha Parkington,Historical,Brown,Brown,Classic,Light,10
Sonali Matthews,GOTY,Brown,Black,Sonali,Dark,30
Tenney Grant,Contemporary,Light Brown,Blonde,Classic,Light,10
Truly Me 1,Truly Me,Dark Brown,Black,Addy,Dark,33
Truly Me 10,Truly Me,Light Green,Brown,Classic,Light,10
Truly Me 100,Truly Me,Blue,Brown,Classic,Light,10
Truly Me 101,Truly Me,Grey,Caramel,Classic,Light,10
Truly Me 102,Truly Me,Blue,Red,Classic,Light,10
Truly Me 103,Truly Me,Green,Blonde,Classic,Light,10
Truly Me 104,Truly Me,Blue,Blonde,Classic,Light,5
Truly Me 105,Truly Me,Blue,Black,Classic,Light,10
Truly Me 106,Truly Me,Brown,Brown,Addy,Dark,35
Truly Me 107,Truly Me,Brown,Black,Josefina,Light,10
Truly Me 108,Truly Me,Brown,Brown,Josefina,Medium,25
Truly Me 109,Truly Me,Grey,Blonde,Josefina,Dark,35
Truly Me 11,Truly Me,Brown,Black,Addy,Medium,20
Truly Me 110,Truly Me,Blue,Blonde,Jess,Light,5
Truly Me 111,Truly Me,Brown,Black,Jess,Light,5
Truly Me 112,Truly Me,Brown,Brown,Sonali,Dark,30
Truly Me 113,Truly Me,Brown,Black,Sonali,Dark,30
Truly Me 114,Truly Me,Brown,No Hair,Sonali,Dark,30
Truly Me 115,Truly Me,Grey,Blonde,Marie-Grace,Light,5
Truly Me 116,Truly Me,Blue,Unnatural,Marie-Grace,Light,5
Truly Me 117,Truly Me,Brown,Brown,Marie-Grace,Medium,25
Truly Me 118,Truly Me,Hazel,Caramel,Nanea,Light,5
Truly Me 119,Truly Me,Blue,Unnatural,Nanea,Light,10
Truly Me 12,Truly Me,Brown,Blonde,Classic,Light,10
Truly Me 120,Truly Me,Hazel,Brown,Nanea,Medium,20
Truly Me 121,Truly Me,Brown,Brown,Joss,Light,10
Truly Me 122,Truly Me,Brown,Brown,Joss,Medium,20
Truly Me 123,Truly Me,Brown,Black,Makena,Dark,35
Truly Me 124,Truly Me,Brown,Black,Corinne,Light,10
Truly Me 125, Truly Me,Hazel,Blonde,Josefina,Light,5
Truly Me 126,Truly Me,Dark Blue,Brown,Classic,Light,5
Truly Me 127,Truly Me,Hazel,Brown,Josefina,Dark,35
Truly Me 128,Truly Me,Green,Black,Josefina,Light,10
Truly Me 129,Truly Me,Blue,Unnatural,Classic,Light,5
Truly Me 13,Truly Me,Brown,Brown,Classic,Light,10
Truly Me 14,Truly Me,Light Blue,Brown,Classic,Light,10
Truly Me 15,Truly Me,Brown,Black,Classic,Medium,20
Truly Me 16,Truly Me,Brown,Brown,Classic,Light,10
Truly Me 17,Truly Me,Light Blue,Red,Classic,Light,10
Truly Me 18,Truly Me,Brown,Black,Addy,Dark,33
Truly Me 19,Truly Me,Light Green,Brown,Classic,Light,10
Truly Me 2,Truly Me,Brown,Brown,Classic,Medium,20
Truly Me 20,Truly Me,Grey,Blonde,Classic,Light,10
Truly Me 21,Truly Me,Hazel,Red,Classic,Light,10
